Name,SN,OLT,Board,Port,Allocated ONU,PON Type
John Doe,ZTEGC5168274,ZTE_OLT_NAME,2,1,1,gpon
Jane Doe,HWTCD8151016,ZTE_OLT_NAME,2,1,2,gpon
James Smith,ZTEGC6941837,ZTE_OLT_NAME,2,1,3,gpon
Mary Smith,HWTCD8150868,ZTE_OLT_NAME,2,1,4,gpon
Michael Brown,HWTCD8F22AB2,ZTE_OLT_NAME,2,1,5,gpon
Sarah Brown,HWTCD88B2FDD,ZTE_OLT_NAME,2,1,6,gpon
David Wilson,HWTCD8641174,ZTE_OLT_NAME,2,1,7,gpon
Emma Wilson,HWTCD864119D,ZTE_OLT_NAME,2,1,8,gpon
Robert Johnson,HWTCB47D2E43,ZTE_OLT_NAME,2,1,9,gpon
Linda Johnson,ZTEG82537416,ZTE_OLT_NAME,2,1,10,gpon
William Davis,HWTC798B8B43,ZTE_OLT_NAME,2,2,1,gpon
Patricia Davis,HWTC75865E43,ZTE_OLT_NAME,2,2,2,gpon
Daniel Miller,HWTCA23DFB62,ZTE_OLT_NAME,2,3,2,gpon
Jennifer Miller,HWTCA20E0F9E,ZTE_OLT_NAME,2,3,4,gpon
Christopher Moore,HWTCA22409D6,ZTE_OLT_NAME,2,3,5,gpon
Jessica Moore,ZTEGC9351728,ZTE_OLT_NAME,2,3,6,gpon
Matthew Taylor,HWTCA20CB332,ZTE_OLT_NAME,2,3,7,gpon
Elizabeth Taylor,ZTEG54721863,ZTE_OLT_NAME,2,6,1,gpon
Andrew Anderson,HWTCA212F97D,ZTE_OLT_NAME,2,6,2,gpon
Joseph Thomas,HWTCA2144723,ZTE_OLT_NAME,2,8,1,gpon
